Hex_ID,Depth_m
596,0
597,0
3174,0
3175,0
3176,0
3177,0
5753,0
5754,0
5755,0
5756,0
5757,0
8334,0
8335,0
8336,0
8337,0
10915,0
10916,0
10917,0
13495,0
13496,0
16075,0
16076,0
18654,0
18655,0
21227,0
21228,0
21234,0
21235,0
23804,0
23805,0
23806,0
23807,0
23808,0
23812,0
23813,0
26383,0
26384,0
26385,0
26386,0
26387,0
26388,0
26392,0
26393,0
28961,0
28962,0
28963,0
28964,0
28965,0
28966,0
28967,0
28970,0
28971,0
31454,-0.475992748
31455,-0.452307966
31456,-0.360322519
31457,-0.296709433
31458,-0.098508795
31459,-0.011409649
31460,-0.000247386
31461,0
31462,0
31540,0
31541,0
31542,0
31543,0
31544,0
31545,0
31546,0
31547,0
31549,0
31550,0
31551,0
34030,-0.500219903
34031,-1.370435972
34032,-2.894963411
34033,-3.600213096
34034,-2.870679428
34035,-2.388915666
34036,-1.841894404
34037,-1.225268525
34038,-0.793328611
34039,-0.380284128
34040,-0.156151533
34041,-0.032839168
34042,0
34043,0
34118,0
34119,0
34120,0
34121,0
34122,0
34123,0
34124,0
34125,0
34127,0
34128,0
34129,0
36609,-1.091742518
36610,-3.385672703
36611,-4.897235381
36612,-5.5902175
36613,-5.3513315
36614,-5.029780779
36615,-4.344224078
36616,-3.351059118
36617,-2.517098975
36618,-1.872120466
36619,-1.410690201
36620,-0.943689128
36621,-0.452656418
36622,-0.090297477
36623,-0.000167469
36624,0
36625,0
36696,0
36697,0
36698,0
36699,0
36705,0
36706,0
36707,0
39186,-0.443563078
39187,-3.16247092
39188,-5.21735712
39189,-5.789051294
39190,-5.454172897
39191,-5.125020314
39192,-5.444790912
39193,-5.504922707
39194,-4.913200104
39195,-4.219774988
39196,-3.563361566
39197,-2.868274633
39198,-2.236854017
39199,-1.704603802
39200,-1.134402487
39201,-0.608841979
39202,-0.204194876
39203,-0.040785301
39204,-0.000444249
39205,0
39206,0
39275,0
39276,0
39282,0
39283,0
39284,0
39285,0
41765,-0.447721763
41766,-3.435585063
41767,-6.419853488
41768,-5.926480115
41769,-5.387897873
41770,-5.093396663
41771,-4.63279251
41772,-4.328752638
41773,-4.600818299
41774,-3.969205689
41775,-3.767831934
41776,-3.579844281
41777,-3.293355954
41778,-2.893935276
41779,-2.372502714
41780,-1.823212114
41781,-1.280719791
41782,-0.861689773
